MenuID,RestaurantID,ItemName,Category,Price
M301,R101,Crispy Tacos,Tacos,340
M302,R101,French Fries,Sides,100
M303,R101,Onion Rings,Sides,230
M304,R101,Garlic Bread,Sides,200
M305,R101,Spicy Burrito,Burritos,370
M306,R102,Mango Shake,Beverages,190
M307,R102,Mojito,Beverages,180
M308,R102,Mojito,Beverages,230
M309,R102,Vanilla Cake,Cakes,270
M310,R102,Cheesecake,Desserts,200
M311,R102,Gulab Jamun,Desserts,160
M312,R103,French Fries,Sides,100
M313,R103,Mango Shake,Beverages,150
M314,R103,Crispy Burger,Burger,360
M315,R103,Potato Wedges,Sides,120
M316,R103,Double Patty Burger,Burger,180
M317,R103,Lemonade,Beverages,240
M318,R103,Chicken Burger,Burger,380
M319,R103,Crispy Burger,Burger,380
M320,R104,Fruit Cake,Cakes,200
M321,R104,Black Forest,Cakes,170
M322,R104,Iced Tea,Beverages,200
M323,R104,Tiramisu,Desserts,100
M324,R105,Fried Rice,Rice,370
M325,R105,Paneer Tikka,Starters,120
M326,R105,Manchow Rice,Rice,370
M327,R105,Pulao,Rice,390
M328,R105,Chicken Wings,Starters,100
M329,R105,Pad Thai,Noodles,290
M330,R106,Ice Cream,Desserts,160
M331,R106,Tiramisu,Desserts,110
M332,R106,Spring Rolls,Starters,170
M333,R106,Dal Makhani,Main Course,550
M334,R106,Paneer Tikka,Starters,90
M335,R106,Chicken Wings,Starters,220
M336,R107,Naan,Breads,240
M337,R107,Chilli Potato,Starters,230
M338,R107,Grilled Fish,Main Course,340
M339,R107,Chicken Tikka Masala,Main Course,390
M340,R107,Paneer Butter Masala,Main Course,580
M341,R108,Pad Thai,Noodles,330
M342,R108,Nachos,Starters,170
M343,R108,Hakka Noodles,Noodles,400
M344,R108,Nachos,Starters,100
M345,R108,Chilli Potato,Starters,130
M346,R108,Pan Fried Noodles,Noodles,260
M347,R109,Chocolate Cake,Cakes,200
M348,R109,Cold Coffee,Beverages,200
M349,R109,Iced Tea,Beverages,130
M350,R109,Brownie,Desserts,190
M351,R109,Lemonade,Beverages,210
M352,R109,Cold Coffee,Beverages,170
M353,R110,Cheese Burger,Burger,210
M354,R110,French Fries,Sides,150
M355,R110,Potato Wedges,Sides,180
M356,R110,Iced Tea,Beverages,190
M357,R110,Garlic Bread,Sides,140
M358,R110,Garlic Bread,Sides,170
M359,R110,Cheese Dip,Sides,210
M360,R110,Cold Coffee,Beverages,220
M361,R111,Chicken Tikka Masala,Main Course,220
M362,R111,Upma,Breakfast,170
M363,R111,Masala Dosa,Breakfast,210
M364,R111,Mojito,Beverages,240
M365,R112,Hakka Noodles,Noodles,200
M366,R112,Fried Rice,Rice,290
M367,R112,Nachos,Starters,210
M368,R112,Schezwan Fried Rice,Rice,220
M369,R112,Schezwan Fried Rice,Rice,260
M370,R112,Jeera Rice,Rice,310
M371,R112,Pan Fried Noodles,Noodles,300
M372,R113,Iced Tea,Beverages,120
M373,R113,Potato Wedges,Sides,140
M374,R113,Onion Rings,Sides,170
M375,R113,Crispy Burger,Burger,380
M376,R113,Potato Wedges,Sides,110
M377,R114,Paneer Butter Masala,Main Course,220
M378,R114,Masala Dosa,Breakfast,200
M379,R114,Chicken Tikka Masala,Main Course,370
M380,R114,Poha,Breakfast,180
M381,R115,Nachos,Starters,200
M382,R115,Pesto Pasta,Pasta,210
M383,R115,Alfredo Pasta,Pasta,400
M384,R115,Margherita Pizza,Pizza,310
M385,R115,Spring Rolls,Starters,110
M386,R115,Margherita Pizza,Pizza,260
M387,R115,Spring Rolls,Starters,200
M388,R115,Veg Supreme Pizza,Pizza,340
M389,R116,Onion Rings,Sides,130
M390,R116,Veg Tacos,Tacos,280
M391,R116,Fish Tacos,Tacos,190
M392,R116,Crispy Tacos,Tacos,370
M393,R116,Soft Tacos,Tacos,380
M394,R116,Spicy Burrito,Burritos,380
M395,R117,Nachos,Starters,240
M396,R117,Chicken Tikka Masala,Main Course,370
M397,R117,Naan,Breads,390
M398,R117,Chicken Tikka Masala,Main Course,350
M399,R117,Roti,Breads,360
M400,R117,Kulcha,Breads,280
M401,R117,Paratha,Breads,230
M402,R117,Nachos,Starters,150
M403,R118,Lasagna,Pasta,360
M404,R118,Nachos,Starters,160
M405,R118,Arrabbiata Pasta,Pasta,280
M406,R118,Pepperoni Pizza,Pizza,420
M407,R118,Mac and Cheese,Pasta,340
M408,R118,Nachos,Starters,120
M409,R119,Chilli Potato,Starters,160
M410,R119,Ice Cream,Desserts,130
M411,R119,Ice Cream,Desserts,210
M412,R119,Paneer Tikka,Starters,160
M413,R120,Chicken Wings,Starters,240
M414,R120,Gulab Jamun,Desserts,180
M415,R120,Cheesecake,Desserts,190
M416,R120,Gulab Jamun,Desserts,250
M417,R120,Chicken Tikka Masala,Main Course,390
M418,R120,Chilli Potato,Starters,220
M419,R121,Veg Supreme Pizza,Pizza,290
M420,R121,Pesto Pasta,Pasta,320
M421,R121,Nachos,Starters,160
M422,R121,Farmhouse Pizza,Pizza,400
M423,R121,Pepperoni Pizza,Pizza,310
M424,R121,Lasagna,Pasta,220
M425,R122,Chicken Wings,Starters,100
M426,R122,Spring Rolls,Starters,150
M427,R122,Spring Rolls,Starters,160
M428,R122,Chilli Garlic Noodles,Noodles,160
M429,R122,Spring Rolls,Starters,80
M430,R123,Spicy Burrito,Burritos,250
M431,R123,Chicken Burrito,Burritos,160
M432,R123,Garlic Bread,Sides,80
M433,R123,Soft Tacos,Tacos,350
M434,R123,Crispy Tacos,Tacos,320
M435,R123,Veg Tacos,Tacos,400
M436,R123,Cheese Dip,Sides,110
M437,R123,Crispy Tacos,Tacos,320
M438,R124,Paneer Tikka,Starters,120
M439,R124,Schezwan Fried Rice,Rice,260
M440,R124,Schezwan Noodles,Noodles,320
M441,R124,Manchow Rice,Rice,270
M442,R125,Onion Rings,Sides,130
M443,R125,Double Patty Burger,Burger,240
M444,R125,Lemonade,Beverages,220
M445,R125,Chicken Burger,Burger,240
M446,R125,Crispy Burger,Burger,160
M447,R125,Garlic Bread,Sides,90
M448,R125,Onion Rings,Sides,170
M449,R125,French Fries,Sides,180
M450,R126,Paneer Tikka,Starters,110
M451,R126,Manchow Rice,Rice,260
M452,R126,Pad Thai,Noodles,220
M453,R126,Paneer Tikka,Starters,150
M454,R126,Jeera Rice,Rice,330
M455,R126,Schezwan Noodles,Noodles,270
M456,R126,Chilli Garlic Noodles,Noodles,290
M457,R126,Hakka Noodles,Noodles,340
M458,R127,Garlic Bread,Sides,150
M459,R127,Crispy Burger,Burger,160
M460,R127,Chicken Burger,Burger,340
M461,R127,Lemonade,Beverages,130
M462,R127,Lemonade,Beverages,160
M463,R127,Veggie Burger,Burger,240
M464,R128,Paneer Tikka,Starters,100
M465,R128,Chilli Potato,Starters,170
M466,R128,Greek Salad,Salads,320
M467,R128,Spring Rolls,Starters,210
M468,R128,Green Tossed Salad,Salads,250
M469,R128,Nachos,Starters,250
M470,R128,Paneer Butter Masala,Main Course,590
M471,R128,Nachos,Starters,120
M472,R129,Grilled Fish,Main Course,340
M473,R129,Gulab Jamun,Desserts,130
M474,R129,Chilli Potato,Starters,100
M475,R129,Paneer Butter Masala,Main Course,580
M476,R130,Dal Makhani,Main Course,410
M477,R130,Green Tossed Salad,Salads,270
M478,R130,Chicken Wings,Starters,120
M479,R130,Dal Makhani,Main Course,340
M480,R130,Paneer Tikka,Starters,150
M481,R130,Fruit Salad,Salads,330
M482,R130,Mutton Curry,Main Course,590
M483,R130,Nachos,Starters,130
M484,R131,Paneer Tikka,Starters,180
M485,R131,Chilli Potato,Starters,200
M486,R131,Veg Supreme Pizza,Pizza,590
M487,R131,Mac and Cheese,Pasta,270
M488,R131,Chicken Wings,Starters,240
M489,R131,Lasagna,Pasta,390
M490,R131,Lasagna,Pasta,380
M491,R132,Naan,Breads,370
M492,R132,Paneer Butter Masala,Main Course,250
M493,R132,Paratha,Breads,180
M494,R132,Chicken Wings,Starters,90
M495,R132,Paneer Butter Masala,Main Course,370
M496,R132,Nachos,Starters,90
M497,R132,Dal Makhani,Main Course,300
M498,R132,Naan,Breads,200
M499,R133,Mojito,Beverages,190
M500,R133,Lemonade,Beverages,130
M501,R133,Lemonade,Beverages,230
M502,R133,Paneer Butter Masala,Main Course,420
M503,R133,Mutton Curry,Main Course,310
M504,R133,Poha,Breakfast,100
M505,R133,Upma,Breakfast,240
M506,R134,Chilli Potato,Starters,230
M507,R134,Schezwan Noodles,Noodles,330
M508,R134,Pad Thai,Noodles,160
M509,R134,Schezwan Fried Rice,Rice,320
M510,R134,Schezwan Noodles,Noodles,180
M511,R135,Chicken Wings,Starters,140
M512,R135,Tiramisu,Desserts,220
M513,R135,Chicken Tikka Masala,Main Course,590
M514,R135,Ice Cream,Desserts,240
M515,R136,Brownie,Desserts,240
M516,R136,Iced Tea,Beverages,190
M517,R136,Chocolate Cake,Cakes,240
M518,R136,Fruit Cake,Cakes,390
M519,R136,Mojito,Beverages,220
M520,R136,Black Forest,Cakes,360
M521,R136,Fruit Cake,Cakes,370
M522,R137,French Fries,Sides,200
M523,R137,Chicken Burger,Burger,310
M524,R137,Lemonade,Beverages,150
M525,R137,Cheese Burger,Burger,320
M526,R138,Nachos,Starters,150
M527,R138,Mac and Cheese,Pasta,160
M528,R138,Lasagna,Pasta,260
M529,R138,Farmhouse Pizza,Pizza,240
M530,R138,Mac and Cheese,Pasta,180
M531,R138,Cheese Burst,Pizza,340
M532,R138,Chicken Wings,Starters,170
M533,R139,Mutton Curry,Main Course,440
M534,R139,Chicken Tikka Masala,Main Course,400
M535,R139,Nachos,Starters,150
M536,R139,Chicken Wings,Starters,220
M537,R139,Ice Cream,Desserts,80
M538,R139,Brownie,Desserts,110
M539,R139,Ice Cream,Desserts,180
M540,R140,Iced Tea,Beverages,160
M541,R140,Upma,Breakfast,190
M542,R140,Masala Dosa,Breakfast,240
M543,R140,Mojito,Beverages,140
M544,R140,Dal Makhani,Main Course,520
M545,R140,Poha,Breakfast,80
M546,R141,Masala Dosa,Breakfast,240
M547,R141,Paneer Butter Masala,Main Course,340
M548,R141,Cold Coffee,Beverages,220
M549,R141,Lemonade,Beverages,100
M550,R141,Iced Tea,Beverages,220
M551,R141,Mango Shake,Beverages,150
M552,R141,Masala Dosa,Breakfast,130
M553,R141,Grilled Fish,Main Course,200
M554,R142,Nachos,Starters,120
M555,R142,Nachos,Starters,160
M556,R142,Chilli Potato,Starters,230
M557,R142,Fruit Salad,Salads,160
M558,R143,Schezwan Noodles,Noodles,340
M559,R143,Schezwan Noodles,Noodles,210
M560,R143,Chilli Garlic Noodles,Noodles,370
M561,R143,Pad Thai,Noodles,220
M562,R143,Schezwan Noodles,Noodles,210
M563,R144,Mutton Curry,Main Course,570
M564,R144,Pasta Salad,Salads,380
M565,R144,Paneer Tikka,Starters,200
M566,R144,Caesar Salad,Salads,170
M567,R144,Chicken Tikka Masala,Main Course,240
M568,R144,Greek Salad,Salads,400
M569,R144,Grilled Fish,Main Course,560
M570,R145,Double Patty Burger,Burger,220
M571,R145,Cheese Burger,Burger,190
M572,R145,Cold Coffee,Beverages,180
M573,R145,Chicken Burger,Burger,400
M574,R145,Lemonade,Beverages,110
M575,R145,Cold Coffee,Beverages,250
M576,R145,French Fries,Sides,120
M577,R146,Mango Shake,Beverages,240
M578,R146,Paneer Butter Masala,Main Course,280
M579,R146,Upma,Breakfast,150
M580,R146,Aloo Paratha,Breakfast,210
M581,R146,Mojito,Beverages,90
M582,R147,Fruit Cake,Cakes,150
M583,R147,Cold Coffee,Beverages,180
M584,R147,Cheesecake,Desserts,100
M585,R147,Tiramisu,Desserts,180
M586,R148,Manchow Rice,Rice,220
M587,R148,Schezwan Fried Rice,Rice,400
M588,R148,Schezwan Noodles,Noodles,330
M589,R148,Chilli Potato,Starters,120
M590,R148,Manchow Rice,Rice,330
M591,R149,Nachos,Starters,240
M592,R149,Grilled Fish,Main Course,260
M593,R149,Ice Cream,Desserts,150
M594,R149,Chilli Potato,Starters,120
M595,R150,Chilli Potato,Starters,110
M596,R150,Chilli Potato,Starters,250
M597,R150,Pad Thai,Noodles,250
M598,R150,Pad Thai,Noodles,230
M599,R150,Schezwan Noodles,Noodles,290
M600,R151,Chicken Tikka Masala,Main Course,430
M601,R151,Paneer Butter Masala,Main Course,460
M602,R151,Chilli Potato,Starters,90
